[461281.012988] TCP: my_cca: seq=1 cwnd=10 rtt=621 bytes_acked=1448 bytes_sent=30408 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.013210] TCP: my_cca: seq=2 cwnd=5 rtt=208 bytes_acked=4344 bytes_sent=36200 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.013949] TCP: my_cca: seq=11 cwnd=8 rtt=160 bytes_acked=37648 bytes_sent=73848 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.014164] TCP: my_cca: seq=14 cwnd=4 rtt=146 bytes_acked=44888 bytes_sent=82536 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.014993] TCP: my_cca: seq=25 cwnd=8 rtt=147 bytes_acked=78192 bytes_sent=120184 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.015194] TCP: my_cca: seq=28 cwnd=4 rtt=156 bytes_acked=85432 bytes_sent=128872 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.015923] TCP: my_cca: seq=38 cwnd=8 rtt=153 bytes_acked=114392 bytes_sent=165072 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.016185] TCP: my_cca: seq=41 cwnd=4 rtt=156 bytes_acked=123080 bytes_sent=172312 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.016835] TCP: my_cca: seq=53 cwnd=8 rtt=134 bytes_acked=153488 bytes_sent=208512 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.017034] TCP: my_cca: seq=56 cwnd=4 rtt=144 bytes_acked=162176 bytes_sent=217200 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.018100] TCP: my_cca: seq=79 cwnd=8 rtt=162 bytes_acked=220096 bytes_sent=282360 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.018302] TCP: my_cca: seq=83 cwnd=4 rtt=128 bytes_acked=228784 bytes_sent=291048 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.019055] TCP: my_cca: seq=96 cwnd=8 rtt=149 bytes_acked=262088 bytes_sent=325800 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.019234] TCP: my_cca: seq=98 cwnd=4 rtt=140 bytes_acked=266432 bytes_sent=334488 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.019368] TCP: my_cca: seq=100 cwnd=5 rtt=149 bytes_acked=270776 bytes_sent=337384 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.019945] TCP: my_cca: seq=108 cwnd=8 rtt=110 bytes_acked=298288 bytes_sent=376480 phase=loss_recovery Destination: 192.168.88.253:43532
[461281.020146] TCP: my_cca: seq=111 cwnd=4 rtt=161 bytes_acked=306976 bytes_sent=382272 phase=congestion_avoidance Destination: 192.168.88.253:43532
[461281.020853] TCP: my_cca: seq=120 cwnd=8 rtt=134 bytes_acked=335936 bytes_sent=419920 phase=loss_recovery Destination: 192.168.88.253:43532
