[477647.983947] TCP: my_cca: seq=30 cwnd=60 rtt=558 bytes_acked=167968 bytes_sent=260640 phase=fast_retransmit Destination: 192.168.88.253:39448
[477647.984969] TCP: my_cca: seq=52 cwnd=63 rtt=557 bytes_acked=266432 bytes_sent=362000 phase=loss_recovery Destination: 192.168.88.253:39448
[477647.985364] TCP: my_cca: seq=66 cwnd=31 rtt=372 bytes_acked=309872 bytes_sent=403992 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477647.987167] TCP: my_cca: seq=100 cwnd=34 rtt=617 bytes_acked=456120 bytes_sent=554584 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477647.990728] TCP: my_cca: seq=138 cwnd=39 rtt=636 bytes_acked=773232 bytes_sent=876040 phase=loss_recovery Destination: 192.168.88.253:39448
[477647.991232] TCP: my_cca: seq=144 cwnd=19 rtt=270 bytes_acked=816672 bytes_sent=912240 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477647.996961] TCP: my_cca: seq=200 cwnd=32 rtt=555 bytes_acked=1306096 bytes_sent=1414696 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477647.997992] TCP: my_cca: seq=211 cwnd=34 rtt=531 bytes_acked=1395872 bytes_sent=1521848 phase=loss_recovery Destination: 192.168.88.253:39448
[477647.998462] TCP: my_cca: seq=215 cwnd=17 rtt=226 bytes_acked=1437864 bytes_sent=1556600 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477648.008154] TCP: my_cca: seq=300 cwnd=37 rtt=475 bytes_acked=2292184 bytes_sent=2434088 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477648.008326] TCP: my_cca: seq=302 cwnd=37 rtt=648 bytes_acked=2299424 bytes_sent=2474632 phase=loss_recovery Destination: 192.168.88.253:39448
[477648.008811] TCP: my_cca: seq=307 cwnd=18 rtt=340 bytes_acked=2341416 bytes_sent=2507936 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477648.018958] TCP: my_cca: seq=400 cwnd=40 rtt=566 bytes_acked=3242072 bytes_sent=3433208 phase=congestion_avoidance Destination: 192.168.88.253:39448
[477648.019610] TCP: my_cca: seq=407 cwnd=21 rtt=245 bytes_acked=3286960 bytes_sent=3472304 phase=fast_retransmit Destination: 192.168.88.253:39448
