[134373.335686] TCP: my_cca: seq=396668 cwnd=4 rtt=421 phase=congestion_avoidance Destination: 192.168.88.253:51208
[134563.262284] TCP: my_cca: seq=1 cwnd=10 rtt=258 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.262503] TCP: my_cca: seq=2 cwnd=5 rtt=205 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.263472] TCP: my_cca: seq=17 cwnd=10 rtt=147 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.263626] TCP: my_cca: seq=21 cwnd=5 rtt=114 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.264100] TCP: my_cca: seq=35 cwnd=8 rtt=139 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.264299] TCP: my_cca: seq=40 cwnd=4 rtt=111 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.264752] TCP: my_cca: seq=50 cwnd=6 rtt=198 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.265005] TCP: my_cca: seq=54 cwnd=3 rtt=82 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.265629] TCP: my_cca: seq=67 cwnd=6 rtt=198 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.265876] TCP: my_cca: seq=72 cwnd=3 rtt=81 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.266497] TCP: my_cca: seq=84 cwnd=6 rtt=218 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.266696] TCP: my_cca: seq=89 cwnd=3 rtt=106 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.267271] TCP: my_cca: seq=100 cwnd=6 rtt=185 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.267558] TCP: my_cca: seq=106 cwnd=7 rtt=279 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.267780] TCP: my_cca: seq=111 cwnd=3 rtt=110 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.268628] TCP: my_cca: seq=128 cwnd=7 rtt=287 phase=loss_recovery Destination: 192.168.88.253:50774
[134563.268832] TCP: my_cca: seq=133 cwnd=3 rtt=110 phase=congestion_avoidance Destination: 192.168.88.253:50774
[134563.269485] TCP: my_cca: seq=147 cwnd=6 rtt=182 phase=loss_recovery Destination: 192.168.88.253:50774
